,Year,Month,Day,Sentiment,Count
701,2020,9,11,neutral,1361530
702,2020,9,11,positive,245421
703,2020,9,12,negative,1292392
704,2020,9,12,neutral,1246667
705,2020,9,12,positive,241630
706,2020,9,13,negative,1371491
707,2020,9,13,neutral,1195225
708,2020,9,13,positive,221926
709,2020,9,14,negative,1321835
710,2020,9,14,neutral,1274621
711,2020,9,14,positive,276304
712,2020,9,15,negative,1378877
713,2020,9,15,neutral,1437362
714,2020,9,15,positive,280624
715,2020,9,16,negative,1345881
716,2020,9,16,neutral,1525722
717,2020,9,16,positive,294319
718,2020,9,17,negative,1655002
719,2020,9,17,neutral,1595349
720,2020,9,17,positive,307362
721,2020,9,18,negative,1542950
722,2020,9,18,neutral,1531965
723,2020,9,18,positive,293168
724,2020,9,19,negative,1033069
725,2020,9,19,neutral,937326
726,2020,9,19,positive,222308
727,2020,9,20,negative,1169409
728,2020,9,20,neutral,1061546
729,2020,9,20,positive,235889
730,2020,9,21,negative,1337799
731,2020,9,21,neutral,1362603
732,2020,9,21,positive,297454
733,2020,9,22,negative,1611829
734,2020,9,22,neutral,1528639
735,2020,9,22,positive,366276
736,2020,9,23,negative,1211832
737,2020,9,23,neutral,1207302
738,2020,9,23,positive,264243
739,2020,9,24,negative,1318024
740,2020,9,24,neutral,1380925
741,2020,9,24,positive,321665
742,2020,9,25,negative,1229597
743,2020,9,25,neutral,1259274
744,2020,9,25,positive,306740
745,2020,9,26,negative,1259329
746,2020,9,26,neutral,1118176
747,2020,9,26,positive,256551
748,2020,9,27,negative,1019450
749,2020,9,27,neutral,952946
750,2020,9,27,positive,252007
751,2020,9,28,negative,1066279
752,2020,9,28,neutral,1075887
753,2020,9,28,positive,250120
754,2020,9,29,negative,1212118
755,2020,9,29,neutral,1212407
756,2020,9,29,positive,271838
757,2020,9,30,negative,1304320
758,2020,9,30,neutral,1112125
759,2020,9,30,positive,293636
760,2020,10,1,negative,1117346
761,2020,10,1,neutral,1202792
762,2020,10,1,positive,251725
763,2020,10,2,negative,2103109
764,2020,10,2,neutral,2401226
765,2020,10,2,positive,706498
766,2020,10,3,negative,2255047
767,2020,10,3,neutral,2416012
768,2020,10,3,positive,493336
769,2020,10,4,negative,2158375
770,2020,10,4,neutral,1934935
771,2020,10,4,positive,375907
772,2020,10,5,negative,2479206
773,2020,10,5,neutral,1833122
774,2020,10,5,positive,419441
775,2020,10,6,negative,2519460
776,2020,10,6,neutral,1989190
777,2020,10,6,positive,359234
778,2020,10,7,negative,1949993
779,2020,10,7,neutral,1862491
780,2020,10,7,positive,352425
781,2020,10,8,negative,1782632
782,2020,10,8,neutral,1823066
783,2020,10,8,positive,360214
784,2020,10,9,negative,1615164
785,2020,10,9,neutral,1714645
786,2020,10,9,positive,314118
787,2020,10,10,negative,1743190
788,2020,10,10,neutral,1572376
789,2020,10,10,positive,301565
790,2020,10,11,negative,1637739
791,2020,10,11,neutral,1426469
792,2020,10,11,positive,254073
793,2020,10,12,negative,1505272
794,2020,10,12,neutral,1498011
795,2020,10,12,positive,269045
796,2020,10,13,negative,1614586
797,2020,10,13,neutral,1568023
798,2020,10,13,positive,313624
799,2020,10,14,negative,1413536
800,2020,10,14,neutral,1357036
801,2020,10,14,positive,280485
802,2020,10,15,negative,1354447
803,2020,10,15,neutral,1347202
804,2020,10,15,positive,279188
805,2020,10,16,negative,1443967
806,2020,10,16,neutral,1324989
807,2020,10,16,positive,254797
808,2020,10,17,negative,1259329
809,2020,10,17,neutral,1175085
810,2020,10,17,positive,254182
811,2020,10,18,negative,1243024
812,2020,10,18,neutral,1261831
813,2020,10,18,positive,287729
814,2020,10,19,negative,1262233
815,2020,10,19,neutral,1470320
816,2020,10,19,positive,298854
817,2020,10,20,negative,1460763
818,2020,10,20,neutral,1422675
819,2020,10,20,positive,289737
820,2020,10,21,negative,1388409
821,2020,10,21,neutral,1223257
822,2020,10,21,positive,270747
823,2020,10,22,negative,1410824
824,2020,10,22,neutral,1212706
825,2020,10,22,positive,281305
826,2020,10,23,negative,1395265
827,2020,10,23,neutral,1274740
828,2020,10,23,positive,278829
829,2020,10,24,negative,1267760
830,2020,10,24,neutral,1204116
831,2020,10,24,positive,241654
832,2020,10,25,negative,1412082
833,2020,10,25,neutral,1344345
834,2020,10,25,positive,273721
835,2020,10,26,negative,1363267
836,2020,10,26,neutral,1236784
837,2020,10,26,positive,243886
838,2020,10,27,negative,1396300
839,2020,10,27,neutral,1166802
840,2020,10,27,positive,246758
841,2020,10,28,negative,1330829
842,2020,10,28,neutral,1182224
843,2020,10,28,positive,262610
844,2020,10,29,negative,1264523
845,2020,10,29,neutral,1231706
846,2020,10,29,positive,313190
847,2020,10,30,negative,1464624
848,2020,10,30,neutral,1282515
849,2020,10,30,positive,302255
850,2020,10,31,negative,1038174
851,2020,10,31,neutral,954376
852,2020,10,31,positive,241968
853,2020,11,1,negative,1399298
854,2020,11,1,neutral,1195397
855,2020,11,1,positive,325635
856,2020,11,2,negative,1375364
857,2020,11,2,neutral,1272684
858,2020,11,2,positive,328177
859,2020,11,3,negative,1176722
860,2020,11,3,neutral,1148497
861,2020,11,3,positive,284523
862,2020,11,4,negative,1022170
863,2020,11,4,neutral,930112
864,2020,11,4,positive,243269
865,2020,11,5,negative,1154705
866,2020,11,5,neutral,1120230
867,2020,11,5,positive,277446
868,2020,11,6,negative,1060733
869,2020,11,6,neutral,1042079
870,2020,11,6,positive,287669
871,2020,11,7,negative,1163463
872,2020,11,7,neutral,1182220
873,2020,11,7,positive,358725
874,2020,11,8,negative,1040938
875,2020,11,8,neutral,964612
876,2020,11,8,positive,278080
877,2020,11,9,negative,1076068
878,2020,11,9,neutral,1465172
879,2020,11,9,positive,420194
880,2020,11,10,negative,1094515
881,2020,11,10,neutral,1280949
882,2020,11,10,positive,330739
883,2020,11,11,negative,1107382
